<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOLUME>;<AMOUNT>
PLZL;D;20250908;000000;2239.8;2290;2231.4;2280.8;1564778;
PLZL;D;20250909;000000;2283;2348.8;2281.4;2327.4;2120509;
PLZL;D;20250910;000000;2330;2344;2311.8;2336.4;1017278;
PLZL;D;20250911;000000;2331;2334.6;2310.8;2328.4;1121323;
PLZL;D;20250912;000000;2334.8;2367.2;2286.4;2312.8;1769818;
PLZL;D;20250913;000000;2318.4;2324;2298;2308.4;53277;
PLZL;D;20250914;000000;2310.4;2322;2305.8;2315.2;56296;
PLZL;D;20250915;000000;2318;2345;2267;2345;1374679;
PLZL;D;20250916;000000;2345.2;2360;2323.2;2340.2;1182802;
PLZL;D;20250917;000000;2341;2355;2295.8;2309.6;1114728;
PLZL;D;20250918;000000;2312.6;2320;2281.6;2296;1218287;
PLZL;D;20250919;000000;2299.8;2310;2285.2;2293.6;643453;
PLZL;D;20250922;000000;2297.2;2340;2277;2328.6;1555340;
PLZL;D;20250923;000000;2330.2;2365;2306;2322.8;1311353;
PLZL;D;20250924;000000;2324;2334.6;2301.2;2309;832000;
PLZL;D;20250925;000000;2310;2336.4;2303.6;2313;573583;
PLZL;D;20250926;000000;2312;2325.8;2306;2320.2;470530;
PLZL;D;20250927;000000;2326.8;2329;2320.4;2325.2;27629;
PLZL;D;20250928;000000;2325.2;2331.6;2324;2328.4;30787;
PLZL;D;20250929;000000;2333.2;2407.6;2333;2386.6;1627919;
PLZL;D;20250930;000000;2406;2439;2340;2362.4;1655898;
PLZL;D;20251001;000000;2367.2;2405;2344.2;2368.2;1093602;
PLZL;D;20251002;000000;2367.8;2378.8;2286.4;2317.2;1146621;
PLZL;D;20251003;000000;2324.4;2337;2295;2321.8;728141;
PLZL;D;20251004;000000;2315.2;2329.8;2300;2309.8;92679;
PLZL;D;20251005;000000;2309.8;2335.2;2305.4;2332;71502;
PLZL;D;20251006;000000;2346.6;2382;2340;2377.4;1100491;
PLZL;D;20251007;000000;2382.8;2396;2363.8;2386;748461;
PLZL;D;20251008;000000;2396.2;2411;2308.2;2352;1829145;
PLZL;D;20251009;000000;2355;2377.4;2300;2323;1422156;
PLZL;D;20251010;000000;2322.8;2322.8;2235.6;2292.4;1598062;
