TICKER;DATE;PRICE
NLMK;20120514;51.8
NLMK;20120515;51.43
NLMK;20120516;51.36
NLMK;20120517;49.4
NLMK;20120518;50.54
NLMK;20120521;52.21
NLMK;20120522;52.08
NLMK;20120523;49.74
NLMK;20120524;50.5
NLMK;20120525;50.9
NLMK;20120528;51.12
NLMK;20120529;54.26
NLMK;20120530;54.65
NLMK;20120531;52.73
NLMK;20120601;50.4
NLMK;20120604;51.73
NLMK;20120605;52.31
NLMK;20120606;52.7
NLMK;20120607;55.22
NLMK;20120608;54.5
NLMK;20120609;54.74
NLMK;20120613;54.98
NLMK;20120614;54.27
NLMK;20120615;56.12
NLMK;20120618;56.95
NLMK;20120619;56.89
NLMK;20120620;56.31
NLMK;20120621;56.0
NLMK;20120622;54.48
NLMK;20120625;53.43
NLMK;20120626;53.1
NLMK;20120627;52.47
NLMK;20120628;50.29
NLMK;20120629;52.5
NLMK;20120702;54.31
NLMK;20120703;55.89
NLMK;20120704;56.2
NLMK;20120705;54.73
NLMK;20120706;54.3
NLMK;20120709;54.6
NLMK;20120710;54.35
NLMK;20120711;52.94
NLMK;20120712;52.33
NLMK;20120713;53.2
NLMK;20120716;53.38
NLMK;20120717;53.2
NLMK;20120718;53.27
NLMK;20120719;54.57
NLMK;20120720;53.72
NLMK;20120723;51.4
NLMK;20120724;50.72
NLMK;20120725;50.85
NLMK;20120726;52.58
NLMK;20120727;55.05
NLMK;20120730;55.25
NLMK;20120731;53.25
NLMK;20120801;53.61
NLMK;20120802;52.87
NLMK;20120803;55.0
NLMK;20120806;58.57
NLMK;20120807;60.79
NLMK;20120808;61.59
NLMK;20120809;60.84
NLMK;20120810;60.3
NLMK;20120813;59.87
NLMK;20120814;59.81
NLMK;20120815;58.8
NLMK;20120816;59.25
NLMK;20120817;58.65
NLMK;20120820;57.07
NLMK;20120821;58.33
NLMK;20120822;57.79
NLMK;20120823;58.33
NLMK;20120824;57.96
NLMK;20120827;58.1
NLMK;20120828;57.3
NLMK;20120829;55.39
NLMK;20120830;54.22
NLMK;20120831;55.89
NLMK;20120903;56.88
NLMK;20120904;56.79
NLMK;20120905;55.78
NLMK;20120906;57.0
NLMK;20120907;60.5
NLMK;20120910;61.92
NLMK;20120911;62.45
NLMK;20120912;62.51
NLMK;20120913;62.23
NLMK;20120914;67.97
NLMK;20120917;67.32
NLMK;20120918;66.05
NLMK;20120919;66.41
NLMK;20120920;65.39
NLMK;20120921;66.22
NLMK;20120924;65.5
NLMK;20120925;64.93
NLMK;20120926;62.2
NLMK;20120927;62.88
NLMK;20120928;62.4
NLMK;20121001;64.73
NLMK;20121002;64.56
NLMK;20121003;63.79
NLMK;20121004;63.14
NLMK;20121005;64.37
NLMK;20121008;63.5
NLMK;20121009;63.66
NLMK;20121010;63.01
NLMK;20121011;63.59
NLMK;20121012;62.09
NLMK;20121015;61.53
NLMK;20121016;61.75
NLMK;20121017;62.44
NLMK;20121018;61.95
NLMK;20121019;61.43
NLMK;20121022;61.95
NLMK;20121023;60.75
NLMK;20121024;59.7
NLMK;20121025;59.53
NLMK;20121026;58.29
NLMK;20121029;57.65
NLMK;20121030;57.76
NLMK;20121031;58.94
NLMK;20121101;60.41
NLMK;20121102;62.41
NLMK;20121106;62.5
NLMK;20121107;61.05
NLMK;20121108;60.0
NLMK;20121109;59.58
NLMK;20121112;60.2
NLMK;20121113;59.11
NLMK;20121114;60.16
NLMK;20121115;59.99
NLMK;20121116;59.99
NLMK;20121119;60.98
NLMK;20121120;60.66
NLMK;20121121;61.85
NLMK;20121122;61.6
NLMK;20121123;62.48
NLMK;20121126;61.9
NLMK;20121127;61.7
NLMK;20121128;60.71
NLMK;20121129;61.3
NLMK;20121130;62.38
